Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
1,2020-01-09,byjus,E-Tech,E-Learning,bangalore,tiger global management,private equity,1732.0
2,2020-01-13,shuttl,Transportation,App Based Shuttle Service,gurgaon,susquehanna growth equity,series c,69.7
3,2020-01-09,mamaearth,E-commerce,Retail,bangalore,sequoia capital india,series b,158.99
4,2020-01-02,wealthbucket,Fintech,Financial Services,delhi,vinod khatumal,pre-series a,25.98
5,2020-01-02,fashor,Fashion And Apparel,Embroiled Clothes For Women,mumbai,sprout venture partners,seed round,15.59
6,2020-01-13,pando,Logistics,B2B Logistics Provider,chennai,chiratae ventures,series a,77.94
7,2020-01-10,zomato,Hospitality,Budget Rooms,gurgaon,ant financial,private equity,1299.0
8,2019-12-12,ecozen,Technology,Data Analytics Platform,pune,sathguru catalyzer advisors,series a,51.96
9,2019-12-06,cardekho,E-commerce,Retail,gurgaon,ping an global voyager fund,series d,606.2
10,2019-12-03,dhruva space,Aerospace,Satellite Communication,bangalore,"mumbai angels, ravikanth reddy",seed,433.0
11,2019-12-13,rivigo,Technology,Data Analytics Platform,gurgaon,"saif partners, spring canter investment ltd.",series f,173.2
12,2019-12-17,healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,bangalore,"paytm, nptk, sabre partners and neoplux",series c,103.92
13,2019-12-16,licious,E-commerce,Retail,bangalore,vertex growth fund,series e,259.8
14,2019-12-16,incred,Finance,Online Lending Platform,mumbai,undisclosed,debt funding,51.09
15,2019-12-14,trell,Video,Experience Discovery Platform,bangalore,ruizheng investment,seed round,17.32
16,2019-12-11,rein games,Gaming,Mobile E-Sports,noida,manipal education and medical group (memg),seed round,433.0
17,2019-12-20,lenskart,E-commerce,Retail,faridabad,softbank vision fund,series g,2000.46
18,2019-11-13,freshworks,Software,Ai Platform,out of india,"sequoia, capitalg, accel",series h,1299.0
19,2019-11-14,misters,Health And Wellness,Healthcare Services,gurgaon,"sauce.vc, rainforest ventures",series b,4.21
20,2019-11-13,sunstone eduversity pvt. ltd,Education,Aptitude Development Program,gurgaon,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",seed,12.99
21,2019-11-17,burger singh,Food And Beverage,Brewery,gurgaon,rb investments,venture round,0.0
22,2019-11-18,healthians,Health And Wellness,Healthcare Services,gurgaon,"dg daiwa ventures, dg incubation",series b,103.92
23,2019-11-15,ninjacart,B2B Marketing,Agritech,bangalore,trifecta capital advisors,debt funding,225.16
24,2019-11-20,aye finance,Fintech,Financial Services,gurgaon,fintech,debt funding,150.78
25,2019-11-12,supergaming,Video Games,Social Gaming Platform,pune,dream incubator,seed funding,11.26
26,2019-11-20,clumio,Saas,Beauty And Wellness Industry,out of india,"altimeter capital, sutter hill ventures",series c,1169.1
27,2019-11-11,ebikego,Last Mile Transportation,Electric Bike Rental,amritsar,startup buddy,seed,2.6
28,2019-11-19,digital mall asia,E-commerce,Retail,delhi,amour infrastructure,seed funding,1905.2
29,2019-11-18,medikabazaar,Healthcare,A Doctor-Patient Engagement Platform,mumbai,"ackermans & van haaren, healthquad, rebright partners, toppan printing",series b,136.83
30,2019-11-15,vogo automotive,Last Mile Transportation,Electric Bike Rental,koramangala,"matrix partners, stellaris venture partners, kalaari capital",series b,2450.78
31,2019-11-19,furtados school of music,Education,Aptitude Development Program,tulangan,ian fund and dsg consumer partners,undisclosed,1732.0
32,2019-11-25,paytm,Fintech,Financial Services,noida,vijay shekhar sharma,funding round,8660.0
33,2019-10-04,dunzo,Customer Service,Delivery Service,bangalore,lightbox,series d,389.7
34,2019-10-02,udaan,B2B,Business Development,bangalore,"altimeter capital, dst global",series d,5066.1
35,2019-10-21,the man company,Consumer Goods,Beauty And Grooming,gurgaon,ayushmann khurana,corporate round,0.0
36,2019-09-05,fpl technologies,Fintech,Financial Services,pune,"matrix partners india, sequoia india",maiden round,38.97
37,2019-09-04,cashflo,Fintech,Financial Services,mumbai,saif partners,series a,28.58
38,2019-09-04,digital f5,"Advertising, Marketing",Digital Marketing Firm,mumbai,tiw private equity,private equity,51.96
39,2019-09-04,3rdflix,Saas,Beauty And Wellness Industry,hyderabad,e venture partners,pre-series a,43.3
40,2019-09-04,75f,Iot,Building Automation System,out of india,breakthrough energy ventures,series a,155.88
41,2019-09-04,myelin foundry,Information Technology,Big Data,bangalore,endiya partners,seed,8.66
42,2019-09-04,atomberg technology,Consumer Technology,"Consumer Electronics, Home Appliances",mumbai,a91 partners,series a,86.6
43,2019-09-04,goqii,Health And Wellness,Healthcare Services,out of india,bennett coleman and company ltd (bccl),series c,3897.0
44,2019-09-03,vyapar app,Accounting,Mobile-Based Accounting Software,bangalore,"india quotient, a ventures",series a,43.3
45,2019-08-01,cardekho,E-commerce,Retail,gurgaon,sc gg india mobility holdings llc,series c,173.2
46,2019-08-01,progcap,Finance,Online Lending Platform,delhi,sequoia india,series a,43.3
47,2019-08-01,mypetrolpump,Retail,Fuel Delivery,bangalore,undisclosed,seed funding,13.86
48,2019-08-01,alteria capital,Finance,Online Lending Platform,mumbai,"azim premji, binny bansal",single venture,1212.4
49,2019-08-01,pine labs,Information Technology,Big Data,noida,pine labs pte ltd,corporate round,329.77
50,2019-08-12,meesho,E-commerce,Retail,bangalore,naspers,series d,1082.5
51,2019-08-13,cars24,E-commerce,Retail,gurgaon,ms dhoni,series d,95.26
52,2019-08-13,uniphore,Customer Service Platform,Conversational Ai,chennai,march capital partners,series c,441.66
53,2019-08-23,zendrive,Automotive,Road Safety Analytics,out of india,xl innovate,series b,320.42
54,2019-08-23,lo foods,Consumer Goods,Beauty And Grooming,bangalore,"rashmi daga (founder, freshmenu), raveen sastry (co-founder, myntra) and mitesh shah (finance chief, bookmyshow)",seed round,4.33
55,2019-08-23,tala,Fintech,Financial Services,out of india,rps ventures,series d,952.6
56,2019-08-22,indwealth,Fintech,Financial Services,gurgaon,tiger global management,venture round,129.9
57,2019-08-21,hungerbox,Food And Beverage,Brewery,bangalore,one97 communications ltd.,series c,57.07
58,2019-08-23,admitkard,Edtech,E-Learning,noida,growth dna,seed round,8.66
59,2019-08-19,mishry reviews,Services,Car Wash,gurgaon,vir sanghvi,series a,0.0
60,2019-08-19,grofers,E-commerce,Retail,gurgaon,softbank vision fund,series f,606.2
61,2019-08-27,rapido bike taxi,Transportation,App Based Shuttle Service,bangalore,westbridge capital,series b,33774.0
62,2019-07-02,renewbuy,Finance,Online Lending Platform,gurgaon,"lok capital, iifl wealth",series b,164.54
63,2019-07-02,atlan,Information Technology,Big Data,delhi,waterbridge ventures,pre-series a,21.65
64,2019-07-01,wizcounsel,Compliance,Consulting,delhi,kapil dev,angel round,1.26
65,2019-07-03,ola cabs,Transport,Cabs,koramangala,"dig investment ab, deshe holdings, samih toukan and hussam khoury",series j,8.66
66,2019-07-01,uniphore,Artificial Intelligence,Speech Recognition,taramani,march capital partners,series c,329.77
67,2019-07-04,daalchini technologies,Food And Beverage,Brewery,delhi,artha venture,seed round,4.33
68,2019-07-10,byju's,Edtech,E-Learning,bangalore,qatar investment authority,private equity,1299.0
69,2019-07-11,moglix,E-commerce,Retail,noida,"composite capital management, sequoia capital india, tiger global management",series d,519.6
70,2019-07-10,ezyhaul,Tech,Logistics,out of india,undisclosed,series b,138.56
71,2019-07-10,indus os,Tech,Logistics,mumbai,ventureast,series b,49.79
72,2019-07-10,healthassure,Health Care,Primary Care Medical Network,mumbai,blume ventures,series a,21.65
73,2019-07-09,house of msasaba,Lu Label,Clothes And Apparel,mumbai,binny bansal,series a,8.66
74,2019-07-08,board infinity,Edtech,E-Learning,mumbai,multiple angel investors,angel round,2.77
75,2019-06-05,nobroker,E-commerce,Retail,bangalore,general atlantic,series c,441.66
76,2019-06-04,bira91,Food And Beverage,Brewery,delhi,anicut capital,debt funding,86.6
77,2019-06-03,fabhotels,E-commerce,Retail,gurgaon,"goldman sachs, accel partners and qualcomm",undisclosed,42.35
78,2019-06-03,avail finance,Finance,Online Lending Platform,bangalore,matrix partners,series a,77.94
79,2019-06-04,bharatpe,Finance,Online Lending Platform,delhi,insight partners,series b,649.5
80,2019-06-04,recykal,Waste Management Service,Optimization,hyderabad,"triton investment advisors, pidilite industries director ajay parekh",pre-series a,225.16
81,2019-06-03,agara labs,Deep-Tech,Artificial Intelligence,bangalore,blume ventures and rtp global,pre-series a,21.65
82,2019-06-06,sistema,Agriculture,Agri-Tech,out of india,"shell foundation, dila capital, engie rde fund, ecoenterprise fund, edfimc (electrifi), endeavor catalyst fund, cocapital, triodos, alpha mundi, and lendahand",undisclosed,23.72
83,2019-06-06,chakr innovation,Energy,Renewable Energy,delhi,ian fund,series a,225.16
84,2019-06-06,pratilipi,Digital Media,E-Books,bangalore,qiming venture partners,series b,130.85
85,2019-06-10,bolo app,Digital Media,E-Books,bangalore,ne venture partners,seed funding,3.73
86,2019-06-10,okcredit,Fintech,Financial Services,haryana,tiger global management,series a,134.23
87,2019-06-06,biz2credit,Fintech,Financial Services,out of india,westbridge capital,series b,450.32
88,2019-06-08,vogo automotive pvt. ltd.,Transportation,App Based Shuttle Service,bangalore,alteria capital,debt funding,31.04
89,2019-06-04,leegality,Services,Car Wash,bangalore,mumbai angels,series a,29.44
90,2019-05-06,ola electric,Transport,Cabs,bangalore,tata sons,series a,0.0
91,2019-05-06,saahas zero waste,Waste Management Service,Optimization,bangalore,c4d partners,venture round,7.52
92,2019-05-05,styledotme,E-commerce,Retail,delhi,"indian angel network and other angel investors, innov8 founder ritesh malik, josh talks founders supriya paul and shobha banga, and former hero corporate president rohit chanana",bridge round,0.0
93,2019-05-01,blackbuck,Transport,Cabs,bangalore,"goldman sachs investment partners and silicon valley-based accel, wellington, sequoia capital, b capital, lightstreet, sands capital and international finance corporation,",series d,1299.0
94,2019-05-02,zenoti,Saas,Beauty And Wellness Industry,hyderabad,tiger global management,series c,433.0
95,2019-05-28,ather energy,Automobile,Electric Vehicle,bangalore,sachin bansal,series c,441.66
96,2019-05-28,freshvnf,Agtech,Fresh Agriculture Produces,mumbai,equanimity ventures,seed round,1212.4
97,2019-05-30,glowroad,E-commerce,Retail,bangalore,"korea investment partners, vertex ventures",series b,99.59
98,2019-05-31,bira91,Food And Beverage,Brewery,delhi,si sense ventures,series b,48.5
99,2019-04-16,kuvera,Finance,Online Lending Platform,bangalore,eight roads,series a,389.7
100,2019-04-12,medlife,E-commerce,Retail,bangalore,prasid uno family trust,private equity,147.22
101,2019-04-10,kabadiwala,E-commerce,Retail,bhopal,"unilever, beehive capital advisor, abcom investments, parekh marine transport,",private equity,3.73
102,2019-04-13,tripoto,Social Media,Hyperlocal Content,delhi,"orchid india, hornbill orchid india fund, chiratae ventures (formerly idg ventures), 3one4 capital, lasmer nv",series b,31.1
103,2019-04-12,azah,Health And Wellness,Healthcare Services,gurgaon,unnamed angel investors,seed funding,1.73
104,2019-04-11,setu,Fintech,Financial Services,bangalore,lightspeed india partners,seed funding,30.31
105,2019-04-10,toppr,Edtech,E-Learning,mumbai,milestone,debt and preference capital,54.74
106,2019-04-10,craftsvilla,E-commerce,Retail,mumbai,supera pte ltd,inhouse funding,21.16
107,2019-04-10,unacademy,Edtech,E-Learning,bangalore,kalyan krishnamurthy,seed/angel funding,2.66
108,2019-04-11,clevertap,Saas,Beauty And Wellness Industry,mumbai,"sequoia india, tiger global management, accel partners",series b,225.16
109,2019-04-19,my healthcare,E-commerce,Retail,gurgaon,si sense ventures,series a,25.98
110,2019-04-19,krazybee,E-commerce,Retail,bangalore,"bac acquisitions, unifi aif, brd securities, northern r capital",debt funding,124.2
111,2019-04-17,shuttl,Transportation,App Based Shuttle Service,gurgaon,new atlantic ventures,venture round,43.3
112,2019-04-17,increff,Technology,Data Analytics Platform,bangalore,"021 capita, binny bansal",series a,25.98
113,2019-02-01,fleetx,Ai,Logistics,gurgaon,india quotient and letsventure angel fund,pre-series a,0.0
114,2019-02-08,zilingo,E-commerce,Online Pharmacy,out of india,"sequoia capital and temasek holdings, edbi, burda principal investments, and sofina",series d,1957.16
115,2019-02-13,nanoclean global,Nanotechnology,Anti-Pollution,delhi,"letsventure, pitchright venture, 91springboard, al nour international holdings and mark v investments",series a,5.2
116,2018-02-14,oyorooms,Hospitality,Budget Rooms,gurgaon,didi chu,equity round,866.0
117,2019-01-03,cardekho,Automobile,Electric Vehicle,jaipur,"sequoia india, hillhouse capital, alphabet growth investment arm capital g and a bank",series c,952.6
118,2019-01-04,vyome therapeutics inc.,Health And Wellness,Healthcare Services,out of india,"iron pillar, perceptive advisors, romulus capital and kalaari capital",series d,190.52
119,2019-01-04,samunnati financial intermediation & services pvt. ltd,Finance,Online Lending Platform,chennai,"massif, a dutch government fund",debt funding,43.3
120,2018-12-04,manch,Social Media,Hyperlocal Content,delhi,stellaris venture partners,seed funding,6.06
121,2018-12-01,urbanclap technologies pvt. ltd,Services Platform,Home Services Marketplace,delhi,steadview capital and vy capital.,series d,433.0
122,2018-12-02,guiddoo,Travel Tech,Platform For Travel Agents,mumbai,individual investors,pre-series a,6.93
123,2018-12-02,career anna,Online Education,"Video-Based Certification, Trainings",gurgaon,individual investors,pre-series a,4.95
124,2018-12-04,nagpur wholesale,Online Marketplace,Ecommerce,nagpur,omphalos ventures india llp,seed funding,1.24
125,2018-12-06,shopkirana,B2B,Business Development,indore,"info edge, aet fund, akatsuki and incubate fund from japan and better capital angellist syndicate.",seed funding,17.32
126,2018-12-06,buildsupply,"Saas, E-commerce","Real Estate, Erp",gurgaon,"venture highway, gree ventures, space matrix, individual investors",series a,30.31
127,2018-11-01,godesi,Food And Beverage,Brewery,bangalore,lead angels network,seed/angel funding,1.2
128,2018-11-03,veritas finance ltd.,Nbfc,Msme Finance,chennai,"norwest venture partners, cdc group, the uk development finance institution and p surendra pai",series d,240.74
129,2018-11-06,meesho,E-commerce,Online Pharmacy,bangalore,"shunwei capital, dst partners and rps ventures",series c,433.0
130,2018-11-08,mobile premier league,Gaming,Mobile E-Sports,bangalore,undisclosed,series a,4.33
131,2018-11-08,a&r bon vivants,Food,Meat Retail Chain,jaipur,"rb investments, singapore",equity round,8.66
132,2018-11-12,blackbuck,Food Tech,Pos For Online Ordering,"new york, bengaluru",tiger global,series a,8.66
133,2018-11-12,milkbasket,Food,Meat Retail Chain,delhi,mayfield fund,series b,11.26
134,2018-11-13,driveu,Transport,Cabs,bangalore,stevens creek ventures,mezzanine,8.66
135,2018-11-14,cleansecar,Services,Car Wash,bangalore,venture catalysts,seed/angel funding,4.33
136,2018-11-19,automation anywhere,Automation,Robotics,out of india,softbank vision fund,series b,2598.0
137,2018-11-20,healthifyme,Health And Wellness,Healthcare Services,bangalore,"sistema asia fund, vc samsung next, chiratae ventures, inventus capital, blume ventures and innoven capital.",series b (extension),51.96
138,2018-11-21,genius corner,Education,Aptitude Development Program,noida,individual investors,seed funding,2.41
139,2018-11-22,aavishkaar-intellecap group,Investment,Sme Funding,mumbai,teachers insurance and annuity association (tiaa),equity round,268.46
140,2018-11-22,skillbox,Social Network,Art,gurgaon,individual investors,seed funding,0.0
141,2018-11-23,signzy,Financial Tech,Digital Onboarding Solution,bangalore,"stellaris venture partners and kalaari capital, rajan anandan from google, dilip khandwelwal from sap labs india, and amrish rau from payu india",series a,29.44
142,2018-11-24,engineer.ai,Software,Ai Platform,out of india,"lakestar and jungle ventures, softbank deepcore.",series a,255.47
143,2018-11-25,incred finance,Finance,Online Lending Platform,mumbai,"paragon partners, individual investors",private equity,363.72
144,2018-11-25,roposo,Social Media,Hyperlocal Content,delhi,bertelsmann india investments,series b,14.72
145,2018-10-01,northmist,Fashion,Mens Wear,delhi,prashant jaiswal,seed/angel funding,
146,2018-10-02,origo commodities india pvt. ltd,Logistics,B2B Logistics Provider,hyderabad,"cooperative oikocredit, caspian and hivos-triodos fund",seed/angel funding,95.26
147,2018-10-04,grover zampa,Food,Meat Retail Chain,mumbai,ravi viswanathan,private equity,71.01
148,2018-10-05,droom,Automobile,Electric Vehicle,gurgaon,zigexn,series e,25.98
149,2018-10-11,innov8,Real Estate,Branded Workspaces Aggregator,delhi,credence family office,pre-series a,34.64
150,2018-10-12,blackbuck,Logistics Tech,Unknown,bangalore,sequoia capital india,private equity,127.13
151,2018-10-12,letstransport,Logistics Tech,Unknown,bangalore,fosun international,series c,103.92
152,2018-09-01,netmeds,Consumer Internet,Online Lending Platform,chennai,"sistema asia fund, sistema jsfc and tanncam investment",private equity,303.1
153,2018-09-03,udaan,B2B Platform,Logistics And Shipping,bangalore,dst global and lightspeed venture partners global fund.,private equity,1948.5
154,2018-09-03,daily hunt,Consumer Internet,Online Lending Platform,bangalore,falcon edge,private equity,55.34
155,2018-09-04,3hcare,Healthcare,A Doctor-Patient Engagement Platform,delhi,undisclosed,seed / angel funding,8.66
156,2018-09-04,happygoeasy,Consumer Internet,Online Lending Platform,gurgaon,"korea investment partners (kip), samsung and china-based citic capital and others",private equity,
157,2018-09-05,nykaa,Consumer Internet,Online Lending Platform,mumbai,lighthouse,private equity,1361.35
158,2018-09-05,mad street den,Technology,Data Analytics Platform,chennai,kddi,private equity,
159,2018-09-06,dream11,Consumer Internet,Online Lending Platform,mumbai,"tencent, kalaari capital and private equity firm multiples alternate asset management",private equity,866.0
160,2018-09-10,mamaearth,Healthcare,A Doctor-Patient Engagement Platform,gurgaon,stellaris ventures & others,private equity,34.64
161,2018-09-11,autogrid,Technology,Data Analytics Platform,bangalore,"clp holdings group, innogy, , and tenaska",private equity,277.12
162,2018-09-11,pharmeasy,Consumer Internet,Online Lending Platform,mumbai,innoven capital,debt funding,47.63
163,2018-09-11,upwards,Fin-Tech,Consumer Financing Platform,mumbai,"shunwei capital,quotient, mayfield & others",private equity,43.3
164,2018-09-12,kissht,Fin-Tech,Consumer Financing Platform,mumbai,"vertex ventures southeast asia (sea) and india and sistema asia fund, fosun rz capital, ventureast, and endiya partners.nn",private equity,259.8
165,2018-08-01,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,bangalore,"farm to fork, arts alliance, the syndicate fund, sven hensen, zeroth and artesian venture partners",seed/angel funding,3.46
166,2018-08-01,healthfin,Finance,Online Lending Platform,pune,"a, sprout venture partners and others",seed/angel funding,
167,2018-08-02,samosa labs,Consumer Internet,Online Lending Platform,hyderabad, and sequoia capital india,private equity,60.62
168,2018-08-03,ziffyhomes,Consumer Internet,Online Lending Platform,gurgaon,y combinator,private equity,1.04
169,2018-08-07,my omnamo,Consumer Internet,Online Lending Platform,mumbai,undisclosed,seed/angel funding,8.66
170,2018-08-07,shopx,Consumer Internet,Online Lending Platform,bangalore,fung strategic holdings,private equity,303.1
171,2018-08-07,makemytrip,Consumer Internet,Online Lending Platform,gurgaon,makemytrip limited,private equity,86.6
172,2018-08-08,hansel io,Consumer Internet,Online Lending Platform,bangalore,vertex ventures,seed/angel funding,34.64
173,2018-08-08,metro bikes,Consumer Internet,Online Lending Platform,bangalore,"sequoia capital india advisors, accel partners and g raghunandan",private equity,105.65
174,2018-08-08,phone pe,Consumer Internet,Online Lending Platform,bangalore,flipkart,private equity,571.56
175,2018-08-09,quizizz,Ed-Tech,Online Education Platform,bangalore,"ne venture partners, prime venture partners and others",seed/angel funding,25.98
176,2018-08-09,happy emi,Fin-Tech,Consumer Financing Platform,bangalore,aj ventures and jain international trade organisation (jito),seed/angel funding,8.66
177,2018-08-13,inthree,Consumer Internet,Online Lending Platform,chennai,"ventureast, orios venture partners and the ian fund",seed/angel funding,34.64
178,2018-08-13,observe ai,Technology,Data Analytics Platform,bangalore,"ne venture partners, mgv, liquid 2 ventures, hack vc, emergent ventures and y combinator",private equity,69.28
179,2018-08-16,enakshi,Consumer Internet,Online Lending Platform,ahmedabad,undisclosed,seed/angel funding,0.99
180,2018-08-17,eazydiner,Consumer Internet,Online Lending Platform,gurgaon,denlow investment trust and beenext,private equity,50.66
181,2018-08-20,finzy,Finance,Online Lending Platform,bangalore,undisclosed,seed / angel funding,8.66
182,2018-08-20,rawpressery,Consumer Internet,Online Lending Platform,mumbai,alteria capital,debt funding,41.57
183,2018-08-22,pi ventures,Technology,Data Analytics Platform,bangalore,cdc group plc,private equity,51.96
184,2018-08-22,revv,Consumer Internet,Online Lending Platform,gurgaon,"hyundai, edelweiss and beenext, dream incubator, sunjay kapoor and telama investment",private equity,123.58
185,2018-08-26,zestmoney,Consumer Internet,Online Lending Platform,bangalore,",payu, ribbit capital and omidyar network",private equity,116.04
186,2018-08-26,shubh loans,Fin-Tech,Consumer Financing Platform,bangalore,"saama capital, sri capital, beenext, and pravega ventures",private equity,36.37
187,2018-08-27,myupchar,Healthcare,A Doctor-Patient Engagement Platform,delhi,"ne venture partners, omidyar network and shunwei capital",private equity,43.3
188,2018-08-28,narvar,It,Saas,bangalore,accel (formerly known as accel partners),private equity,25.98
189,2018-08-30,true north,Finance,Online Lending Platform,mumbai,undisclosed,private equity,5196.0
190,2018-07-01,leena ai,Technology,Data Analytics Platform,gurgaon,y combinator,seed/angel funding,
191,2018-07-02,biryani by kilo,Consumer Internet,Online Lending Platform,gurgaon,ajay relan and vinay mittal,seed/angel funding,8.66
192,2018-07-04,anchanto,It,Saas,pune,mdi ventures & telkom indonesia,private equity,34.64
193,2018-07-05,loan tap,Consumer Internet,Online Lending Platform,mumbai,"shunwei capital, tuscan ventures, ashish goenka, vc firms india quotient and kae capital",private equity,54.12
194,2018-07-06,policybazaar,Consumer Internet,Online Lending Platform,gurgaon,info edge (india) ltd and temasek,private equity,239.88
195,2018-07-09,zippserv,Consumer Internet,Online Lending Platform,bangalore,info edge (india) ltd,seed/angel funding,3.81
196,2018-07-09,groww,Consumer Internet,Online Lending Platform,bangalore,"insignia ventures partners, lightbridge partners & kairos",seed/angel funding,9.53
197,2018-07-10,avenue growth,Consumer Internet,Online Lending Platform,gurgaon,"avtar monga, chief operating office at idfc bank, aditya malik & others",seed/angel funding,3.78
198,2018-07-10,inicu,Healthcare,A Doctor-Patient Engagement Platform,delhi,venture catalysts,seed/angel funding,
199,2018-07-10,kinara capital,Finance,Online Lending Platform,bangalore,responsability,private equity,43.3
200,2018-07-10,shop 101,Consumer Internet,Online Lending Platform,mumbai,"stellaris venture partners, vy capital, raghunandan g, and ramakant sharma",private equity,43.3
201,2018-07-11,sambandh,Consumer Internet,Online Lending Platform,rourkela,base of pyramid asia (bopa) pte ltd,private equity,21.65
202,2018-07-12,19th mile,It,Saas,gurgaon,"rishi vasudev, e investments, ritesh vohra, praveer kumar, prashant gupta and others",seed/angel funding,1.56
203,2018-07-12,5th vital,Healthcare,A Doctor-Patient Engagement Platform,bangalore,brand capital and others,seed/angel funding,4.33
204,2018-07-13,mengage,Healthcare,A Doctor-Patient Engagement Platform,jaipur,"siddharth agarwal, mahavir sharma, amit singal, 100 co-founders lab and others.",seed/angel funding,1.52
205,2018-07-17,ofbusiness,Finance,Online Lending Platform,gurgaon,"creation investments, falcon edge, matrix partners india and zodius capital",private equity,251.14
206,2018-07-17,cars24,Consumer Internet,Online Lending Platform,gurgaon,"kingsway fci fund, kck global & others",private equity,430.4
207,2018-07-18,the ken,Consumer Internet,Online Lending Platform,bangalore,omidyar network & others,seed/angel funding,12.99
208,2018-07-19,book my show,Consumer Internet,Online Lending Platform,mumbai,"tpg growth, the rise fund & others",private equity,866.0
209,2018-07-20,housingman,Consumer Internet,Online Lending Platform,bangalore,undisclosed,seed/angel funding,12.99
210,2018-07-21,paysense,Consumer Internet,Online Lending Platform,mumbai,payu & others,private equity,155.88
211,2018-07-23,yulu bikes,Technology,Data Analytics Platform,bangalore,undisclosed,seed/angel funding,
212,2018-07-23,vtion,Technology,Data Analytics Platform,gurgaon,"angellist, rahul khanna, rajeev arora and ram ramsundar.",seed/angel funding,2.42
213,2018-07-23,log9 materials,Technology,Data Analytics Platform,bangalore,"metaform ventures, hemant luthra, micro venture capital firm gems partners and others",seed/angel funding,3.78
214,2018-07-24,kidovators,Ed-Tech,Online Education Platform,bangalore,gray matters,seed/angel funding,1.56
215,2018-07-24,digit,Consumer Internet,Online Lending Platform,pune,fairfax,private equity,389.7
216,2018-07-25,black soil,Finance,Online Lending Platform,mumbai,"allcargo logistics, navneet education and mahavir agency",private equity,147.22
217,2018-07-25,trell,Consumer Internet,Online Lending Platform,bangalore,"beenext , weh ventures and sprout ventures",seed/angel funding,10.82
218,2018-07-25,iqlect,Technology,Data Analytics Platform,bangalore,ventureast and e,seed/angel funding,21.65
219,2018-07-26,entropik,It,Saas,bangalore,"bharat innovation, idfc-parampara capital, arthavida ventures, jitendra gupta & others",seed/angel funding,9.53
220,2018-07-26,bitla software,Technology,Data Analytics Platform,bangalore,makemytrip,private equity,
221,2018-07-26,thecapitalnet,Fin-Tech,Consumer Financing Platform,hyderabad,lindwall family investments llc (lfi),private equity,4.33
222,2018-07-30,shuttl,Consumer Internet,Online Lending Platform,gurgaon,amazon alexa fund & dentsu ventures,private equity,95.26
223,2018-07-30,cure fit,Consumer Internet,Online Lending Platform,bangalore,"idg ventures, accel partners, kalaari capital and others",private equity,1039.2
224,2018-07-31,five star group,Fin-Tech,Consumer Financing Platform,chennai,"tpg, norwest venture partners, sequoia capital & matrix partners",private equity,866.0
225,2018-07-31,healthsignz,Healthcare,A Doctor-Patient Engagement Platform,hyderabad,kantilal patel,seed/angel funding,43.3
226,2018-06-01,cointribe,Finance,Online Lending Platform,gurgaon,"sabre partners, puneet dalmia & others",private equity,86.6
227,2018-06-04,digiconectt,Technology,Data Analytics Platform,bangalore,aspire logistics llc,seed/angel funding,1.08
228,2018-06-04,kashmir box,E-commerce,Retail,srinagar,"bhairavi jani, alok divatia, namrata kaul, sohail hashemi, aijaz saleem",seed/angel funding,
229,2018-06-05,crowdera,Finance,Online Lending Platform,nagpur,"anil advani, pramod jain, amrendra reddy and manish satnaliwala.",seed/angel funding,
230,2018-06-05,zoctr,Healthcare,A Doctor-Patient Engagement Platform,mumbai,nb ventures and others,seed/angel funding,
231,2018-06-07,annapurna finance,Finance,Online Lending Platform,bhubaneswar,oman india joint investment fund (oijif),private equity,199.18
232,2018-06-07,meesho,Consumer Internet,Online Lending Platform,bangalore,"sequoia capital india, saif partners, y combinator and venture highway",private equity,99.59
233,2018-06-10,ayefinance,Finance,Online Lending Platform,gurgaon,"capitalg, saif partners and lgt impact ventures",private equity,186.19
234,2018-06-11,theranosis,Healthcare,A Doctor-Patient Engagement Platform,hyderabad,mumbai angels network,seed/angel funding,
235,2018-06-12,alpha capital,Finance,Online Lending Platform,mumbai,alpha capital,private equity,128.17
236,2018-06-12,eshakti,E-commerce,Retail,chennai,paragon partners,private equity,87.47
237,2018-06-12,daily ninja,Consumer Internet,Online Lending Platform,bangalore,saama capital and sequoia capital,seed/angel funding,25.98
238,2018-06-13,nirogstreet,Healthcare,A Doctor-Patient Engagement Platform,gurgaon,"spiral ventures, subho ray and samir kumar",seed/angel funding,2.6
239,2018-06-13,nivesh,Finance,Online Lending Platform,noida,"letsventure, rajan anandan, basab pradhan, vivek khare and bijoy george",seed/angel funding,3.9
240,2018-06-13,what's up life,Consumer Internet,Online Lending Platform,gurgaon,rannvijay singha,seed/angel funding,
241,2018-06-14,homelane,Consumer Internet,Online Lending Platform,bangalore,brand capital,seed/angel funding,29.88
242,2018-06-14,network intelligence,Technology,Data Analytics Platform,mumbai,helix investments,private equity,41.57
243,2018-06-18,tynor othontics,Healthcare,A Doctor-Patient Engagement Platform,chandigarh,lighthouse funds & thuasne participations,private equity,181.86
244,2018-06-18,elucidata,It,Saas,out of india,hyperplane venture capital and several angel investors,seed/angel funding,14.72
245,2018-06-19,chrysalis,Ed-Tech,Online Education Platform,pune,menterra venture & artha initiatives,seed/angel funding,
